Sentiment,target_encoded,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Negative,0,18,1,360,63,13,12,376,119,3976,24,9,32,25,731,64,233,61,2566,176,4,138,185,4,258,7,72,68,79
Positive,1,560,10163,18,25,115,460,3977,853,15,269,1400,370,2,373,64,33,101,34,16,126,1387,3,3,42,11,8,5,7
Positive,1,806,2,31,558,2,93,377,35,1053,125,156,18,1,394,481,10,2716,307,684,845,3,2881,2123,42,11,8,5,7
Negative,0,128,353,27,144,1604,285,16,37,52,62,17,37,29,2,1916,18,74,2,209,43,142,2,120,17,89,214,13,12
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5611,14,602,180,13,12,31,54,9183,4,8474,8,5,7,11
Positive,1,0,0,0,0,0,0,0,4419,212,945,391,1201,2,117,21,113,741,733,2797,3218,8,5,7,419,2313,8,5,7
Negative,0,762,3249,1251,2,17,3,3,6501,9,429,390,66,51,94,314,661,420,592,4,575,14,109,9,171,62,3,11,2921
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,77,152,538,2208,268,8534,11,42,8,5,7
Positive,1,10,305,3,1214,2457,274,57,56,3,22,681,28,580,26,95,2,13,12,118,246,16,629,832,424,965,8,5,7
Positive,1,82,24,290,177,51,70,10459,22,1380,1,74,2,130,1,173,6,42,67,4,1231,125,4280,24,1,883,8,5,7
Positive,1,0,0,0,20,1355,15,266,1,599,11,10,258,2329,122,2611,39,1785,4,3809,4725,293,465,671,711,42,8,5,7
Negative,0,114,807,100,918,420,22,32,25,119,119,8813,52,165,152,5678,32,25,203,123,18,420,1390,108,1648,157,996,420,8262
Positive,1,0,0,223,18,20,105,2777,162,833,1723,19,49,221,22,1,32,25,162,231,14,1,599,267,42,238,11,2777,67
Positive,1,1343,31,286,2,76,44,4,1045,38,2211,4,9372,24,104,501,2190,21,186,221,48,71,19,2870,90,10,20,669,36
Positive,1,194,28,40,39,158,546,28,40,265,113,556,6,523,158,72,27,72,5284,1604,28,68,2,65,457,2,12,888,92
Positive,1,544,960,241,116,2355,1244,2259,1827,2259,35,1384,1880,18,695,705,46,1823,480,544,1556,14,5475,4,1585,6568,3399,9970,11
Negative,0,54,110,10,102,2397,1238,95,2,1,4026,6,1,13,12,218,10,26,168,9058,1358,225,10,9,1935,890,8,5,7
Positive,1,0,0,0,0,0,0,0,0,3,479,1,11081,40,13,12,453,1,777,6,46,1518,455,5264,4,1,92,370,677
Negative,0,450,25,1534,80,1478,113,210,4932,170,53,77,261,635,8536,470,11,308,404,13,42,108,13,12,13,12,8,5,7
Positive,1,9,476,2,65,10,492,295,58,427,601,4,22,9,546,36,350,102,1067,10,394,6,1,294,10,157,5902,11,42
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201,767,83,176,249,159,17,14,288,17,16,187,11,42,27
Positive,1,44,14,1,46,35,167,34,40,126,29,802,50,201,778,2,2177,1477,2,1963,13,12,9,4749,2585,3140,31,9,2543
Positive,1,2,139,743,496,523,359,1533,32,25,72,128,34,72,848,2299,2405,1950,4,118,54,28,16,1171,14,38,275,4,7044
Positive,1,121,7447,16,18,3052,24,25,3333,2168,52,9,2434,6,9795,15,383,735,249,3,3,226,54,8,5,7,3,42,9373
Negative,0,0,0,0,93,6,1,961,389,916,6,13,12,18,7243,15,26,1,1180,15,529,2,792,181,46,7243,8,5,7
Negative,0,1,962,746,454,1,23,6,288,15,2002,205,4,1448,15,10,530,14,13,12,3,3,8537,188,6,4684,4,6194,222
Negative,0,3,3,15,20,9,5826,1725,47,16,6347,70,514,2,1648,26,45,164,61,4,289,109,135,3,3,11,8,5,7
Negative,0,77,3605,4,1486,50,185,134,130,2757,2,4,3046,1,4163,396,737,66,2250,9,6803,747,8760,943,26,40,792,34,9181
Positive,1,59,23,2,123,2262,22,1,8082,6,257,10,20,13,12,678,33,134,31,767,50,1,318,323,80,431,106,10,10460
Positive,1,19,809,750,31,9670,22,20,566,260,213,10,9,4849,19,1470,94,371,2,65,150,26,25,14,260,211,11,42,1160
Positive,1,39,94,1185,4,61,90,15,1,202,323,28,68,4,2241,4875,5247,6,13,12,4,29,431,9,231,360,6,1402,1086
Positive,1,325,3,3,108,9928,16,10,324,441,2133,323,3,52,20,78,45,750,3,200,97,23,750,202,239,2541,8,5,7
Positive,1,30,9,794,14,4414,2303,9,313,668,28,2719,2,738,6,5018,420,1224,4,19,348,54,941,2,20,3,8,5,7
Positive,1,1701,232,70,1937,964,24,3,6261,70,9954,477,4,1563,761,84,653,3437,69,15,685,14,17,3,786,542,8,5,7
Negative,0,43,5413,1158,6,9,32,25,407,104,103,111,170,1769,45,16,39,19,129,9,4251,1089,3921,10,41,777,8,5,7
Positive,1,10,9,32,25,47,9,293,1321,244,1222,1293,827,54,495,619,20,105,669,605,4,138,134,17,163,2,399,38,1811
Positive,1,94,10,41,6708,14,430,124,9374,3212,2306,911,35,141,3980,26,5460,10,3513,2475,231,83,35,3,11,608,8,5,7
Negative,0,0,0,0,130,1588,38,556,2,1,27,169,24,17,588,1619,10192,1,2935,6,706,3,11,5725,42,2818,8,5,7
Positive,1,297,3302,10,1,2132,6,4983,30,10,9,1769,175,845,9778,914,6,3342,53,3746,4735,4,2709,1872,1547,5789,8,5,7
Positive,1,18,21,2555,446,2109,18,21,2555,2,37,6,104,155,123,9,587,1736,10,1,289,280,1063,24,1,118,1099,322,686
Negative,0,1477,1,259,4468,692,15,1150,30,1,68,14,21,1892,73,2973,1,4822,2,1231,3453,30,172,2194,54,7211,8,5,7
Positive,1,60,2,700,10,38,32,25,186,4,133,48,804,3,2322,153,32,56,10,13,12,67,648,1564,8,5,7,143,1527
Positive,1,29,1886,891,2,120,652,153,55,295,81,77,55,432,10,1,10462,45,126,1107,395,204,374,3296,1059,71,88,89,18
Negative,0,0,0,0,0,0,0,0,0,16,3984,22,74,19,319,221,575,101,1356,34,16,89,3980,22,1,32,25,1929,11
Negative,0,10,18,311,3714,260,1419,1125,241,249,33,88,167,30,880,52,252,3132,5786,49,145,31,1810,2,435,73,50,778,3637
Negative,0,87,55,175,2,65,86,6,20,2,125,26,155,165,33,2,1,2,1,2373,420,1173,661,30,703,3687,2837,73,2426
Positive,1,63,1,11,161,735,347,452,14,60,2,169,4,123,286,38,21,15,153,2,549,63,1,13,12,67,8,5,7
Negative,0,183,2,1789,243,14,1,34,66,29,2,120,156,2,120,247,468,234,785,359,72,6306,2866,72,32,25,1093,285,108
Positive,1,1,173,6,1684,18,1,165,6,5445,5627,4,7647,433,142,681,1623,4496,1350,2843,77,13,12,11,1404,6210,8,5,7
Negative,0,95,2,821,222,1,173,6,13,12,1795,2241,16,8721,176,45,29,248,136,2,84,222,14,166,178,3,8,5,7
Positive,1,130,6960,35,117,9,85,36,6680,22,5700,8397,2270,6,3673,9981,1312,160,35,81,77,1314,2,533,11,1480,8,5,7
Negative,0,21,1577,95,2,13,12,52,800,1302,61,49,453,26,6471,3,8,5,7,3,6471,3,3,42,11,404,1308,10264,3393
Positive,1,3452,101,62,15,1,1295,78,14,2,329,89,48,53,57,56,165,843,14,7241,158,255,83,1306,47,141,55,8250,108
Positive,1,46,325,51,686,9,403,4,10,9,1983,9376,772,30,454,1,5859,325,134,1442,69,82,3523,6785,42,367,8,5,7
Positive,1,4828,589,181,86,2741,249,1,958,6,504,10,1,324,155,2049,756,23,2,1679,100,327,7374,8,5,7,8,5,7
Positive,1,0,0,0,0,0,0,320,1,3194,24,41,1661,204,20,1586,3,107,153,139,3,3,135,4324,11,2170,8,5,7
Negative,0,9964,4,29,37,2498,59,654,1373,1242,10,1,994,615,388,1,218,6,13,12,4,2221,46,73,3716,9964,42,1373,2243
Negative,0,0,0,0,0,0,0,0,718,97,23,29,2588,14,1074,2106,211,4,29,619,44,64,822,253,1,401,6,1,313
Positive,1,15,210,1345,58,17,68,2,278,47,1361,172,97,10,38,2080,1878,81,77,249,1457,4,10301,735,9377,1527,8,5,7
Negative,0,1,983,26,1774,26,1174,74,10465,23,2,123,165,6,59,272,16,62,757,74,14,875,180,1,13,12,140,15,1046
Negative,0,76,60,40,31,1,349,50,157,304,101,6,13,12,317,173,4897,10,782,35,754,1599,536,310,136,300,68,2,31
Positive,1,0,0,0,0,0,0,0,1622,1,148,17,49,32,25,1093,493,89,2,5742,184,194,131,1,1116,26,108,15,109
Negative,0,1,414,4361,18,220,46,6204,222,24,88,20,1,197,10,43,721,376,1103,1869,5182,1,923,17,68,63,104,1464,199
Positive,1,18,1,183,2,4464,1,32,121,771,30,9,867,252,1,771,116,31,1,277,815,6,1,328,2,519,33,49,2988
Negative,0,327,9298,1175,5551,7506,442,1225,3,301,305,6839,13,12,1175,61,22,1,32,25,3,3,28,29,2952,667,9,772,6
Positive,1,86,6,74,29,3082,142,1490,92,3312,9897,413,20,83,17,259,163,6,187,57,56,33,1011,172,99,28,68,38,79
Positive,1,17,49,659,65,9,179,1666,2710,35,2211,14,192,3158,4060,17,1081,10,43,57,169,3,3,367,3957,3,8,5,7
Negative,0,9,2128,6,1,615,485,16,6507,271,2,169,59,2071,14,21,4,177,8,5,7,3,10466,2482,10467,1518,703,11,42
Positive,1,0,0,0,0,0,0,0,0,30,1643,57,56,150,6788,72,4,1513,913,16,2851,3405,4414,142,1809,4,304,1495,2455
Positive,1,0,0,0,0,0,0,0,0,0,0,0,75,17,29,38,238,2213,685,106,15,71,735,2870,26,17,76,44,18
Negative,0,0,0,0,0,0,0,0,60,13,12,515,250,88,46,23,10,301,8,5,7,8,5,7,8,5,7,143,3024
Positive,1,132,62,64,160,4,11,46,543,8,5,7,3,3,615,13,12,1292,120,921,478,292,547,220,1375,24,3723,3286,6091
Positive,1,1,32,25,83,17,221,33,83,17,164,4,129,162,10,408,1427,47,39,18,1,115,17,164,1985,2,1,312,140
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6539,48,14,586,2817,4524,135,11,8,5,7
Positive,1,0,0,0,684,296,9,46,2694,93,26,1110,488,10,1,1582,6,7758,1887,1562,9,1808,18,1244,1211,4,8750,1384,1880
Positive,1,24,1,112,25,1516,434,54,64,1,1099,633,266,2,281,43,144,4,176,106,8,5,7,118,303,4,107,153,7227
Positive,1,0,0,41,1661,15,9,394,274,32,25,484,41,1382,9079,666,202,797,24,9,427,417,7871,14,2431,11,8,5,7
Negative,0,515,53,11,75,45,870,75,45,741,1242,226,138,1,154,116,4375,527,8,5,7,6931,5749,4326,1245,3485,8,5,7
Positive,1,369,43,3883,4102,5252,25,1252,1882,887,10,8947,222,301,119,4,215,937,181,202,171,24,2092,18,301,1537,8,5,7
Negative,0,0,0,61,22,1,27,60,13,12,10468,1,56,461,36,730,2,43,7191,24,21,51,553,2,5186,71,88,1737,143
Negative,0,462,634,122,326,2,533,61,90,4,79,125,166,10,68,63,1,11,96,143,3155,3203,3063,11,13,12,8,5,7
Positive,1,680,1684,49,173,83,17,518,1,32,25,8,5,7,155,75,314,1,239,1118,19,319,6268,48,6,11,42,1863,13
Positive,1,0,0,1471,3058,82,270,10,2381,1002,14,58,26,45,49,65,1,316,45,68,24,2659,1252,2,1,25,8,5,7
Negative,0,158,255,55,68,14,9,230,1123,17,263,372,55,287,6,21,47,405,329,1395,107,85,3704,1,2176,386,5,61,169
Positive,1,6,512,10,97,23,19,719,39,9,311,2117,52,5933,700,33,131,69,1191,23,22,822,882,369,3093,3,2389,3,108
Positive,1,738,14,1548,6901,660,59,440,30,1,11,8739,74,237,47,16,228,4690,298,2,844,150,9,32,2711,3,8,5,7
Negative,0,2,617,131,36,13,12,28,49,744,181,3995,6163,4,10362,52,43,2139,365,4,899,61,117,33,37,48,6,76,3119
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4902,687,136,18,2444,23,44,3360,2738,2210,30,13,12,2513,2517
Positive,1,0,0,0,179,128,1634,1,240,22,23,776,2014,315,3468,962,6506,13,12,11,21,2812,4894,3756,3886,2777,8,5,7
Positive,1,239,175,303,14,187,20,28,40,297,132,2360,60,118,448,20,40,542,52,33,40,31,22,441,119,4,26,15,248
Negative,0,379,103,111,620,177,3015,714,47,6694,285,285,2,125,10,68,22,4940,895,23,68,2,224,1,318,2995,2259,30,146
Negative,0,0,9,5325,1234,1926,66,9798,10,9,2710,510,64,9,7617,1001,314,2398,262,1860,51,775,6,1,367,3,8,5,7
Negative,0,121,72,4897,21,273,29,2,107,251,2,120,1,254,89,14,26,223,1171,2,98,640,98,86,762,1054,13,12,11
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,1,13,12,96,453,46,3444,483,8,5,7
Negative,0,4,10,3296,336,26,4064,15,2419,2,894,9,4095,2,191,328,2565,4143,53,1,218,6,11,4,4188,23,8,5,7
Positive,1,0,0,0,0,13,12,218,18,6484,1541,168,591,2836,24,8,5,7,750,129,333,23,10,179,512,3,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6591,1370,3861,154,2,1197,464,200,8,5,7,8,5,7
Positive,1,38,230,3,3,399,38,264,24,81,77,2662,3,3,52,166,344,1344,107,22,85,3,3,13,12,42,11,6278,540
Positive,1,1,51,690,1,2213,1417,2,4545,1,23,6,1,1205,1063,24,1,476,6,888,26,49,31,24,93,3,8,5,7
Positive,1,4,5059,150,1831,2458,10,9,1923,26,88,6075,2325,4318,118,16,379,181,59,2071,10,20,568,670,1224,6,22,3558,23
Positive,1,0,0,0,0,0,0,0,0,0,10041,103,111,2,38,306,4,1218,3683,1548,3,308,3,13,12,3,11,3,135
Negative,0,0,0,0,0,0,0,0,962,3487,55,68,2,942,64,405,454,51,248,76,6,288,36,21,2,8138,11,108,1547
Negative,0,3,3,4842,6,1,428,2,3046,238,4,158,255,34,40,370,2,73,21,70,69,45,40,73,290,177,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,6493,49,716,453,3110,5525,1108,245,17,54,298,2,11,8,5,7,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,23,3315,2562,3100,3545,2174,168,403,331,53,13,12,8,5,7,8,5,7
Negative,0,34,66,49,5690,2,20,170,222,10,1,2349,174,564,20,15,6238,910,1010,1,704,66,16,39,595,10,11,552,8749
Negative,0,42,116,31,14,125,66,16,10,21,275,125,66,76,1,115,233,275,50,45,263,820,204,20,599,158,255,15,14
Negative,0,11,45,29,21,76,6,152,430,314,2376,26,1,157,40,700,1150,4,792,1,770,445,3,3,235,5196,8,5,7
Positive,1,36,112,246,253,157,915,110,70,341,27,804,40,1591,31,2198,20,565,147,109,4908,37,1,1737,4,4618,228,9379,108
Positive,1,1347,6,3308,181,2353,504,35,68,37,4551,35,7421,602,22,1911,23,560,1717,10,2427,3316,925,4707,11,42,8,5,7
Positive,1,7,143,283,68,9,1140,47,2905,131,1411,1468,41,294,10,305,3166,816,4596,11,3507,238,235,4773,135,4774,8,5,7
Positive,1,1984,4,756,16,39,30,344,30,631,21,4,330,113,1,1180,1,9380,4,1009,6,1984,16,4631,1984,11,8,5,7
Positive,1,8,5,7,24,9,67,1455,162,847,2,265,22,60,57,56,852,51,94,515,58,517,3,855,13,4439,8,5,7
Negative,0,4,1420,47,46,472,15,2500,33,15,69,757,82,458,3941,14,3202,227,1,1255,6,513,192,171,3,3,4480,152,761
Positive,1,2133,703,28,16,58,4263,53,60,1087,43,2133,246,29,8538,2,435,104,3703,965,3,3,13,12,4836,3,8,5,7
Positive,1,6565,6204,4,8539,64,1,13,12,67,10,356,78,92,133,9,651,2,1349,1,979,4,347,517,4,1966,8,5,7
Negative,0,0,0,0,0,0,0,3879,4,1640,2,46,424,272,1639,5250,10,1103,18,13,12,96,2652,8,5,7,143,3111,8723
Positive,1,10,3841,2132,86,34,29,9,389,218,523,128,353,27,144,285,480,17,10,1590,503,4,86,29,9,1337,749,4400,258
Positive,1,1,6314,96,134,79,341,9,46,834,233,2142,643,69,2858,134,79,228,4,4749,1746,3,87,15,763,28,155,31,187
Positive,1,0,0,0,838,9,250,88,121,25,6054,1405,480,3687,788,302,4,54,2167,2,811,8323,92,1073,4,347,3,3,42
Positive,1,61,90,21,542,33,191,1,485,53,216,1465,48,45,68,43,191,184,62,204,165,38,21,50,28,84,150,1083,131
Negative,0,3,3,28,16,10,20,381,1027,265,113,350,102,3,3,10,1,239,705,902,1,166,344,323,3,3,42,13,12
Positive,1,0,0,0,0,0,0,0,0,0,475,56,57,149,3,62,164,806,2,2448,14,1530,3565,3,438,502,8,5,7
Negative,0,275,1829,28,29,1314,109,299,3383,998,14,892,307,1,536,66,1051,457,2,486,21,4,614,724,2,76,44,18,316
Positive,1,457,2,290,177,28,40,9782,2393,875,6,1,641,1195,186,10,2490,3526,81,77,9382,47,8283,295,3229,8914,7120,224,160
Positive,1,3,3,50,17,129,146,25,1037,44,23,18,321,266,508,6,13,12,204,92,336,98,106,8,5,7,8,5,7
Negative,0,0,0,0,0,19,29,4100,138,646,9,409,10261,15,468,2986,287,37,1,103,111,3,3,11,671,1160,8,5,7
Negative,0,2,421,396,22,9,1374,982,10,1,137,30,1,325,5419,24,9,11,1302,870,10,220,97,73,3,3,8,5,7
Positive,1,29,19,349,284,1978,9,315,101,45,151,2,84,2,1,32,25,159,17,14,1,149,2078,3,3,242,8,5,7
Negative,0,0,0,0,8393,2,13,12,4,5045,33,868,36,1,27,115,16,195,52,41,2681,15,277,6,3,3,44,1,1423
Negative,0,0,0,0,0,0,0,0,0,0,0,11,2400,4,61,90,2550,1090,2,84,314,21,13,12,8,5,7,53,2844
Positive,1,3199,49,28,165,9,570,27,189,15,385,83,28,29,9,21,169,385,71,64,28,1323,5191,8,5,7,8,5,7
Negative,0,0,0,6356,718,23,29,788,9,355,40,528,1228,1002,2,271,53,2474,6945,2767,3,3,3,13,12,1052,8,5,7
Positive,1,9,3,3,10,1,313,6,66,80,8398,2,667,9,945,868,24,1,1960,627,6,81,77,716,11,2670,8,5,7
Positive,1,158,255,428,1,27,1067,40,62,82,566,36,3197,18,4,14,310,272,4,359,72,8,5,7,11,4063,8,5,7
Positive,1,0,0,0,0,0,31,286,2,265,113,1,5652,10,38,317,45,16,1,704,26,68,38,79,1,166,36,1,801
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,474,5463,63,13,12,24,1,363,6,23,36,1,2263
Negative,0,64,147,218,18,21,597,4,60,2,2523,318,1082,43,112,317,136,300,15,122,3667,95,2,61,90,1459,8,5,7
Negative,0,24,297,7026,258,1025,6,58,185,3073,74,258,70,1753,74,2,107,4,9754,33,37,18,1,46,3,3,42,10470,11
Negative,0,0,0,5662,1894,54,9072,113,9,1019,1021,182,22,82,8249,2111,280,1008,10,372,80,2058,57,51,1,604,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,97,23,16,200,3753,86,227,203,163,6,1365,252,145,3976,3,11,8,5,7
Negative,0,0,11,825,240,67,3,3307,825,351,82,2089,34,40,126,31,371,2,473,307,37,240,55,929,40,31,4682,22,27
Negative,0,0,0,0,21,393,10,817,16,798,2,656,10,239,1315,26,6503,131,1,27,1130,30,61,90,109,813,414,18,106
Negative,0,39,1104,2,123,1758,6,199,54,110,59,945,59,530,5495,144,47,59,32,25,484,1005,118,257,66,16,1410,59,448
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,35,994,28,40,10471,8,5,7
Negative,0,10,41,1981,20,15,93,6,1,205,4606,440,2,31,10,184,62,253,1,235,140,101,6,9,355,6,437,24,176
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,238,494,135,13,12,4417,20,2924,2342,41,4991,8,5,7
Negative,0,6,20,1775,313,458,172,484,9,1214,682,24,4461,53,1067,804,55,295,55,230,55,77,30,262,1154,252,553,14,362
Negative,0,765,1291,7397,980,4662,955,106,2,434,54,4,5792,50,1,315,17,1324,15,9,980,47,39,8,5,7,8,5,7
Positive,1,0,0,0,0,0,0,0,0,58,1,27,80,193,491,24,1391,482,647,81,470,52,1364,1,105,76,7345,8540,11
Positive,1,947,2,526,10,1,197,3069,95,2,6948,136,466,6,178,351,30,7872,8851,4,95,2,1,161,6,1156,325,225,12
Positive,1,232,974,3658,92,129,1,410,632,3,3,23,14,1,166,1826,562,15,87,164,7189,2,776,91,2103,152,8,5,7
Negative,0,5,7,3,55,54,103,111,164,942,3,3,235,4990,758,383,2,1294,17,48,3,3,11,42,67,135,8,5,7
Negative,0,2090,4,19,99,10,9,27,58,2674,222,34,19,1496,724,2,293,1133,52,145,164,198,2,278,964,4,257,22,209
Positive,1,4033,35,4182,146,537,1461,2806,17,49,221,199,16,1542,52,26,2086,5,719,28,49,5,31,2124,10,43,1394,63,12
Positive,1,84,9,239,175,1452,439,74,741,43,1242,2,774,1492,3430,2153,189,16,10,2300,73,184,62,8,5,7,8,5,7
Positive,1,1801,38,2802,918,19,278,98,10,1,951,3515,24,1614,330,4,9,427,2480,4,3205,98,2,1818,11,42,108,404,1160
Negative,0,6,13,12,40,31,639,2,2835,4,455,1,183,787,225,1,787,1813,6,466,14,183,1300,771,4,2499,250,88,46
Positive,1,886,1543,53,729,47,75,45,209,9,2764,4148,4,239,705,886,4,46,1305,1543,53,2070,341,82,161,401,10,59,25
Positive,1,73,270,34,1248,35,109,116,31,1592,437,24,257,15,138,1708,272,29,667,58,344,30,997,34,265,1452,317,21,2365
Positive,1,2,43,987,3595,124,746,28,49,1598,249,73,14,1,191,6,15,18,1,526,106,88,60,17,49,79,24,875,303
Positive,1,0,0,0,0,0,2067,5951,141,704,69,2368,511,921,6363,26,2108,59,2613,23,30,527,30,13,12,2433,48,10,1645
Negative,0,11,552,2797,651,306,682,799,18,22,195,115,10,1692,196,1050,131,10,2258,113,11,1129,937,37,1,21,8,5,7
Positive,1,744,18,2621,30,33,15,52,62,23,16,3035,86,6,74,164,29,79,2257,95,2,13,12,4,1362,15,1362,47,9355
Negative,0,118,142,735,29,6802,202,171,543,1882,2,9790,10,6,32,25,72,383,131,24,13,12,1,883,626,53,1,11,2306
Positive,1,0,0,0,0,0,0,0,0,0,0,16,17,595,44,2,1148,18,634,122,326,2,2428,69,10,928,6,13,12
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,46,321,1067,1894,3312,900,14,1223,432,81,1136,23
Negative,0,7642,6,22,441,299,630,5308,10,305,1314,2749,396,2354,10,274,24,2585,455,6706,8,5,7,3,4364,96,3861,2857,11
Negative,0,45,29,22,26,52,10,1,103,111,1048,6,1,32,25,58,19,132,50,839,9,840,2,361,41,333,47,39,11
Negative,0,0,0,5535,1295,6111,74,629,1150,96,30,73,14,21,345,3443,233,142,15,9,118,894,39,70,93,11,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4648,6,1275,61,90,1275,15,150,9,27,13,12
Negative,0,0,0,0,0,718,97,23,526,4466,18,1284,52,1138,1892,2708,30,220,73,36,235,140,67,3,8541,4531,97,13,12
Positive,1,12,1103,2,434,64,1,414,325,412,26,1511,1,2098,73,2334,10,121,4,60,1,15,1728,271,324,4,246,1536,62
Positive,1,0,0,0,60,9,220,67,1273,2,9,103,111,409,591,4,83,33,866,309,11,13,404,135,8,5,7,143,8988
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,11,380,432,99,30,193,30,81,77,14,1971,8,5,7,143,1527
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,10,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,4657,17,3066,9,1206,6,9,78,2,270,23,3,3,608,11,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,180,11,61,3,3,8,5,7,3760,11
Positive,1,1036,280,1,648,9,747,26,799,2,191,298,34,10,68,53,9109,76,10,21,345,2102,3,3,11,8,5,7,53
Positive,1,3030,2,1,27,124,19,80,87,10,1345,80,229,1705,2,129,1,1158,1848,8725,810,5772,16,1591,1,579,106,124,108
Positive,1,8542,605,7,240,28,16,156,331,2,519,37,1333,16,122,686,2,435,1650,73,108,1650,21,8,5,7,8,5,7
Negative,0,24,9,747,36,2505,6055,22,43,112,21,364,245,64,3568,2153,6,21,73,15,205,63,1,13,12,358,8,5,7
Positive,1,157,30,1,183,5530,2,533,1,173,6,11,19,198,2,159,34,14,595,22,85,8,5,7,11,4063,8,5,7
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,56,352,41,364,1407,816,108
Negative,0,803,5051,7873,51,1443,543,6,2927,3382,26,29,1,8958,6,122,36,20,2792,226,54,106,8,5,7,11,8,5,7
Negative,0,0,0,0,0,0,0,5856,978,55,61,90,22,20,2325,7373,32,25,3360,763,6,195,115,13,12,11,8,5,7
Negative,0,983,34,16,695,18,186,31,2260,6,2634,176,40,413,20,4,83,20,15,109,386,5,31,2383,83,34,169,3634,12
Positive,1,10,149,10948,1423,328,6,310,1695,1,3774,1,1100,2,1914,177,50,499,4,555,23,14,21,4,244,3033,7665,42,11
Negative,0,130,122,719,2,1240,4,32,25,1093,1473,33,15,39,59,2623,17,49,114,117,100,8293,6,592,44,11,4452,1258,494
Negative,0,21,10,568,6,122,1425,22,85,58,19,219,9,2438,6,8330,19,2606,2,387,44,69,10,8751,129,17,727,1351,12
Positive,1,1739,19,75,62,1909,26,3,8774,35,985,4310,155,31,3531,314,11169,33,35,1,140,49,354,18,2015,14,9,239,5
Negative,0,0,0,0,0,222,3468,34,775,577,52,460,9,699,2,1,27,62,2807,2,31,9,267,137,48,502,3,13,12
Negative,0,419,99,50,17,164,84,48,55,21,14,5774,442,2150,138,20,15,39,13,12,289,33,15,4437,6,3321,8,5,7
Positive,1,0,0,0,0,0,20,15,9,2014,863,19,1443,36,41,112,4626,32,25,159,17,14,187,38,376,2,79,48,892
Negative,0,104,34,2,209,59,448,14,1376,1237,440,118,6,98,29,55,47,6660,142,212,118,29,55,372,78,20,15,1286,3843
Negative,0,1739,14,1,2945,52,19,291,150,437,24,9,355,6,34,19,354,1196,58,33,4222,94,1625,91,188,565,19,219,85
Negative,0,9,5848,3540,3,3,19,164,198,2,2470,61,117,52,28,16,529,2,29,21,466,10,9,282,430,78,8,5,7
Negative,0,30,1,1419,1848,14,4313,4,1170,13,12,368,51,94,278,1286,2077,2370,806,1,19,123,7623,2,260,1587,26,1586,577
Positive,1,81,1225,3,5263,4327,77,201,2480,1225,3,9,427,1225,3,257,690,666,1,318,3,3,902,60,957,34,16,62,11
Negative,0,0,0,0,0,0,28,10241,98,18,1,5679,4,62,1610,289,98,10,1,3009,1048,22,1,27,13,12,8,5,7
Negative,0,649,91,54,110,1313,155,31,694,22,441,19,49,126,724,2,243,1,23,406,14,125,66,365,13,12,8,5,7
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,174,277,6,235,140,19,2099,31,38,81,77
Negative,0,13,12,96,2807,2,31,311,1390,325,2650,2,674,9,136,1516,2283,26,155,60,1390,487,4189,36,1,67,8,5,7
Negative,0,1780,1866,134,363,222,100,538,1601,10,305,95,2,13,12,60,40,1,11,218,322,5980,6870,3753,2023,8,5,7,143
Negative,0,52,16,293,1220,4,39,122,563,58,43,5464,16,133,212,399,264,107,385,36,1183,130,61,90,1,306,68,21,228
Positive,1,4,3460,27,144,128,34,4,192,9374,4,10,1,240,2345,381,28,40,1927,4,4189,3405,11,479,267,1445,8,5,7
Negative,0,0,0,0,0,0,740,11053,125,200,5961,72,27,144,2406,523,286,16,467,1,254,89,10,20,78,6,96,8320,108
Positive,1,4397,2,2003,4,3256,271,63,42,68,2,31,1187,6,411,46,3010,54,10,43,1033,53,3,8,5,7,8,5,7
